Location,Cleaned_Location,Coordinates
"1470 W ATKINSON AV,MKE","1470 W ATKINSAV,MILWAUKEE","{'lat': 43.086601, 'lng': -87.929039}"
"1432 W LOCUST ST,MKE","1432 W LOCUST ST,MILWAUKEE","{'lat': 43.07158, 'lng': -87.929971}"
"5768 S 23RD ST,MKE","5768 S 23RD ST,MILWAUKEE","{'lat': 42.939883, 'lng': -87.94366}"
"4620 W TRIPOLI AV,MKE","4620 W TRIPOLI AV,MILWAUKEE","{'lat': 42.975223, 'lng': -87.972307}"
"4703 N 73RD ST,MKE","4703 N 73RD ST,MILWAUKEE","{'lat': 43.10313, 'lng': -88.003537}"
"7057 N 107TH ST,MKE","7057 N 107TH ST,MILWAUKEE","{'lat': 43.146161, 'lng': -88.045699}"
"3244 W MC KINLEY BL,MKE","3244 W MC KINLEY BL,MILWAUKEE","{'lat': 43.047536, 'lng': -87.954925}"
"5150 N 40TH ST,MKE","5150 N 40TH ST,MILWAUKEE","{'lat': 43.110921, 'lng': -87.962079}"
"N 17TH ST / W NORTH AV,MKE","N 17TH ST & W NORTH AV,MILWAUKEE","{'lat': 43.057943, 'lng': -87.933942}"
"S 10TH ST / W GREENFIELD AV,MKE","S 10TH ST & W GREENFIELD AV,MILWAUKEE","{'lat': 43.01704, 'lng': -87.923942}"
"4744 N 37TH ST,MKE","4744 N 37TH ST,MILWAUKEE","{'lat': 43.103573, 'lng': -87.958721}"
"2406 N 16TH ST,MKE","2406 N 16TH ST,MILWAUKEE","{'lat': 43.062454, 'lng': -87.932229}"
"3604 W CUSTER AV,MKE","3604 W CUSTER AV,MILWAUKEE","{'lat': 43.115754, 'lng': -87.95772}"
"6130 W LOCUST ST,MKE","6130 W LOCUST ST,MILWAUKEE","{'lat': 43.071963, 'lng': -87.989469}"
"2746 N 47TH ST,MKE","2746 N 47TH ST,MILWAUKEE","{'lat': 43.068949, 'lng': -87.971966}"
"S KINNICKINNIC AV / S HERMAN ST,MKE","S KINNICKINNIC AVE & S HERMAN ST,MILWAUKEE","{'lat': 42.995283, 'lng': -87.895536}"
"3825 W HAMPTON AV,MKE","3825 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"1984 W CONGRESS ST,MKE","1984 W CONGRESS ST,MILWAUKEE","{'lat': 43.097222, 'lng': -87.936417}"
"3332 N RICHARDS ST,MKE","3332 N RICHARDS ST,MILWAUKEE","{'lat': 43.079157, 'lng': -87.907128}"
"5101 N LOVERS LANE RD,MKE","5101 N LOVERS LANE RD,MILWAUKEE","{'lat': 43.110411, 'lng': -88.056196}"
"145 W OKLAHOMA AV,MKE","145 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.987015, 'lng': -87.910661}"
"1110 W GREENFIELD AV,MKE","1110 W GREENFIELD AV,MILWAUKEE","{'lat': 43.01728, 'lng': -87.925733}"
"2873 N 18TH ST,MKE","2873 N 18TH ST,MILWAUKEE","{'lat': 43.071235, 'lng': -87.935872}"
"8801 W CAPITOL DR,MKE","8801 W CAPITOL DR,MILWAUKEE","{'lat': 43.089906, 'lng': -88.022658}"
"S 9TH ST / W BRUCE ST,MKE","S 9TH ST & W BRUCE ST,MILWAUKEE","{'lat': 43.025314, 'lng': -87.922531}"
"1731 W ATKINSON AV,MKE","1731 W ATKINSAV,MILWAUKEE","{'lat': 43.087839, 'lng': -87.932856}"
"N 107TH ST / W HAMPTON AV,MKE","N 107TH ST & W HAMPTAV,MILWAUKEE","{'lat': 43.143474, 'lng': -88.04515}"
"7024 W SILVER SPRING DR,MKE","7024 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119836, 'lng': -87.99922}"
"4703 N HOPKINS ST,MKE","4703 N HOPKINS ST,MILWAUKEE","{'lat': 43.102714, 'lng': -87.959422}"
"445 E MENOMONEE ST,MKE","445 E MENOMONEE ST,MILWAUKEE","{'lat': 43.031405, 'lng': -87.905185}"
"9500 W CAPITOL DR,MKE","9500 W CAPITOL DR,MILWAUKEE","{'lat': 43.090007, 'lng': -88.031714}"
"1301 W LINCOLN AV,MKE","1301 W LINCOLN AV,MILWAUKEE","{'lat': 43.002585, 'lng': -87.928682}"
"N 11TH ST / W KEEFE AV,MKE","N 11TH ST & W KEEFE AV,MILWAUKEE","{'lat': 43.081662, 'lng': -87.924846}"
"7924 W BURLEIGH ST,MKE","7924 W BURLEIGH ST,MILWAUKEE","{'lat': 43.07558, 'lng': -88.011702}"
"3137 N 40TH ST,MKE","3137 N 40TH ST,MILWAUKEE","{'lat': 43.076023, 'lng': -87.963486}"
"1546 S 26TH ST,MKE","1546 S 26TH ST,MILWAUKEE","{'lat': 43.014947, 'lng': -87.945946}"
"4740 N 37TH ST,MKE","4740 N 37TH ST,MILWAUKEE","{'lat': 43.103475, 'lng': -87.958723}"
"3342 N 26TH ST,MKE","3342 N 26TH ST,MILWAUKEE","{'lat': 43.080056, 'lng': -87.945508}"
"2720 S 43RD ST,MKE","2720 S 43RD ST,MILWAUKEE","{'lat': 42.995239, 'lng': -87.96766}"
"201 N MAYFAIR, WAUWATOSA","201 N MAYFAIR, WAUWATOSA, MILWAUKEE","{'lat': 43.032308, 'lng': -88.048354}"
"2104 W GALENA ST,MKE","2104 W GALENA ST,MILWAUKEE","{'lat': 43.051228, 'lng': -87.938708}"
"2915 W BROWN ST,MKE","2915 W BROWN ST,MILWAUKEE","{'lat': 43.056144, 'lng': -87.950435}"
"W LEON TR / W LANCASTER AV,MKE","W LETR & W LANCASTER AV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"4530 W SPENCER PL,MKE","4530 W SPENCER PL,MILWAUKEE","{'lat': 43.08789, 'lng': -87.969783}"
"1577 W GREENFIELD AV,MKE","1577 W GREENFIELD AV,MILWAUKEE","{'lat': 43.016729, 'lng': -87.932544}"
"2308 W BURNHAM ST,MKE","2308 W BURNHAM ST,MILWAUKEE","{'lat': 43.010593, 'lng': -87.9426}"
"5529 W SILVER SPRING DR,MKE","5529 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119035, 'lng': -87.982105}"
"3319 N 22ND ST,MKE","3319 N 22ND ST,MILWAUKEE","{'lat': 43.079231, 'lng': -87.94006}"
"N84W13480 LEON RD , MENOMONEE FALLS","N84W13480 LERD , MENOMONEE FALLS, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
D6,"D6, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"7450 N 91ST ST,MKE","7450 N 91ST ST,MILWAUKEE","{'lat': 43.154145, 'lng': -88.024799}"
"1931 N 7TH ST,MKE","1931 N 7TH ST,MILWAUKEE","{'lat': 43.054928, 'lng': -87.92025}"
"N 29TH ST / W ROOSEVELT DR,MKE","N 29TH ST & W ROOSEVELT DR,MILWAUKEE","{'lat': 43.095154, 'lng': -87.94932}"
"2542 N FARWELL AV,MKE","2542 N FARWELL AV,MILWAUKEE","{'lat': 43.064717, 'lng': -87.881482}"
"4630 N 27TH ST,MKE","4630 N 27TH ST,MILWAUKEE","{'lat': 43.101639, 'lng': -87.946218}"
"2954 N 56TH ST,MKE","2954 N 56TH ST,MILWAUKEE","{'lat': 43.072867, 'lng': -87.982709}"
"4612 W EGGERT PL,MKE","4612 W EGGERT PL,MILWAUKEE","{'lat': 43.11117, 'lng': -87.970543}"
"4568 N 38TH ST,MKE","4568 N 38TH ST,MILWAUKEE","{'lat': 43.100423, 'lng': -87.959972}"
"7508 W CARMEN AV,MKE","7508 W CARMEN AV,MILWAUKEE","{'lat': 43.123481, 'lng': -88.004913}"
"1414 W BECHER ST,MKE","1414 W BECHER ST,MILWAUKEE","{'lat': 43.006863, 'lng': -87.930246}"
"2708 W CENTER ST,MKE","2708 W CENTER ST,MILWAUKEE","{'lat': 43.067759, 'lng': -87.947658}"
"S CHASE AV / W ROSEDALE AV,MKE","S CHASE AVE & W ROSEDALE AV,MILWAUKEE","{'lat': 42.995916, 'lng': -87.91197}"
"11401 W SILVER SPRING DR,MKE","11401 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.11682, 'lng': -88.054316}"
"3732 W FAIRMOUNT AV,MKE","3732 W FAIRMOUNT AV,MILWAUKEE","{'lat': 43.108479, 'lng': -87.959936}"
"2219 N FARWELL AV,MKE","2219 N FARWELL AV,MILWAUKEE","{'lat': 43.059757, 'lng': -87.886015}"
"S CESAR E CHAVEZ DR / W WALKER ST,MKE","S CESAR E CHAVEZ DR & W WALKER ST,MILWAUKEE","{'lat': 43.02218, 'lng': -87.932994}"
"5427 W SILVER SPRING DR,MKE","5427 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119096, 'lng': -87.980714}"
"6272 N JOYCE AV,MKE","6272 N JOYCE AV,MILWAUKEE","{'lat': 43.132178, 'lng': -88.017373}"
"1431 W CHAMBERS ST,MKE","1431 W CHAMBERS ST,MILWAUKEE","{'lat': 43.073044, 'lng': -87.930087}"
"1434 S LAYTON BL,MKE","1434 S LAYTBL,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"3035 W WISCONSIN AV,MKE","3035 W WISCONSIN AV,MILWAUKEE","{'lat': 43.038118, 'lng': -87.952298}"
"2666 N WEIL ST,MKE","2666 N WEIL ST,MILWAUKEE","{'lat': 43.067098, 'lng': -87.898861}"
"3127 S 92ND ST,MKE","3127 S 92ND ST,MILWAUKEE","{'lat': 42.987569, 'lng': -88.027816}"
D6 10-100,"D6 10-100, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"1530 N 9TH ST,MKE","1530 N 9TH ST,MILWAUKEE","{'lat': 43.050575, 'lng': -87.921401}"
"2038 S 16TH ST,MKE","2038 S 16TH ST,MILWAUKEE","{'lat': 43.007471, 'lng': -87.932759}"
"1136 S 8TH ST,MKE","1136 S 8TH ST,MILWAUKEE","{'lat': 43.019238, 'lng': -87.920788}"
"7965 N 76TH ST,MKE","7965 N 76TH ST,MILWAUKEE","{'lat': 43.162873, 'lng': -88.005306}"
"2648 N 55TH ST,MKE","2648 N 55TH ST,MILWAUKEE","{'lat': 43.067184, 'lng': -87.981743}"
"2727 N 47TH ST,MKE","2727 N 47TH ST,MILWAUKEE","{'lat': 43.068517, 'lng': -87.972694}"
"1138 S 25TH ST,MKE","1138 S 25TH ST,MILWAUKEE","{'lat': 43.019811, 'lng': -87.944532}"
"666 N 30TH ST,MKE","666 N 30TH ST,MILWAUKEE","{'lat': 43.038326, 'lng': -87.951362}"
"S 4TH ST / W MITCHELL ST,MKE","S 4TH ST & W MITCHELL ST,MILWAUKEE","{'lat': 43.012302, 'lng': -87.915352}"
"7911 N 60TH ST,MKE","7911 N 60TH ST,MILWAUKEE","{'lat': 43.161829, 'lng': -87.985253}"
"3055 N OAKLAND AV,MKE","3055 N OAKLAND AV,MILWAUKEE","{'lat': 43.074111, 'lng': -87.888175}"
"6209 N 95TH ST,MKE","6209 N 95TH ST,MILWAUKEE","{'lat': 43.130651, 'lng': -88.031369}"
"6430 W FOND DU LAC AV,MKE","6430 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.102742, 'lng': -87.991844}"
"N 16TH ST / W CLYBOURN ST,MKE","N 16TH ST & W CLYBOURN ST,MILWAUKEE","{'lat': 43.036107, 'lng': -87.932912}"
"5177 N 42ND ST,MKE","5177 N 42ND ST,MILWAUKEE","{'lat': 43.111499, 'lng': -87.965317}"
"5201 N 91ST ST,MKE","5201 N 91ST ST,MILWAUKEE","{'lat': 43.112157, 'lng': -88.026427}"
"2654 W FOND DU LAC AV,MKE","2654 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.067537, 'lng': -87.946975}"
"5919 N 39TH ST,MKE","5919 N 39TH ST,MILWAUKEE","{'lat': 43.12517, 'lng': -87.961251}"
"4666 N 38TH ST,MKE","4666 N 38TH ST,MILWAUKEE","{'lat': 43.102182, 'lng': -87.959935}"
"5177 N 65TH ST,MKE","5177 N 65TH ST,MILWAUKEE","{'lat': 43.111535, 'lng': -87.992702}"
"5400 S 13TH ST,MKE","5400 S 13TH ST,MILWAUKEE","{'lat': 42.946366, 'lng': -87.929241}"
"N 54TH ST / W WRIGHT ST,MKE","N 54TH ST & W WRIGHT ST,MILWAUKEE","{'lat': 43.065449, 'lng': -87.981038}"
"524 W CLARKE ST,MKE","524 W CLARKE ST,MILWAUKEE","{'lat': 43.065889, 'lng': -87.917757}"
"S 1ST ST / W NATIONAL AV,MKE","S 1ST ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.023206, 'lng': -87.911228}"
"5929 W LISBON AV,MKE","5929 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"3142 W PIERCE ST,MKE","3142 W PIERCE ST,MILWAUKEE","{'lat': 43.02453, 'lng': -87.953953}"
"7171 N 76TH ST,MKE","7171 N 76TH ST,MILWAUKEE","{'lat': 43.147972, 'lng': -88.005668}"
"7255 N 86TH ST,MKE","7255 N 86TH ST,MILWAUKEE","{'lat': 43.149301, 'lng': -88.018433}"
"3046 N 7TH ST,MKE","3046 N 7TH ST,MILWAUKEE","{'lat': 43.074078, 'lng': -87.919277}"
6005 W NORTH AVE,"6005 W NORTH AVE, MILWAUKEE","{'lat': 43.060552, 'lng': -87.987578}"
"3023 S NEVADA ST,MKE","3023 S NEVADA ST,MILWAUKEE","{'lat': 42.989118, 'lng': -87.892298}"
"S 4TH ST / W LAPHAM BL,MKE","S 4TH ST & W LAPHAM BL,MILWAUKEE","{'lat': 43.012301, 'lng': -87.915506}"
"2624 W LISBON AV,MKE","2624 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"9313 W CLOVERNOOK ST,MKE","9313 W CLOVERNOOK ST,MILWAUKEE","{'lat': 43.135537, 'lng': -88.027506}"
2900 W LISBON AVE,"2900 W LISBAVE, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"2409 N 6TH ST,MKE","2409 N 6TH ST,MILWAUKEE","{'lat': 43.062354, 'lng': -87.918814}"
"2700 W NATIONAL AV,MKE","2700 W NATIONAL AV,MILWAUKEE","{'lat': 43.022045, 'lng': -87.947779}"
"9001 W DALLAS ST,MKE","9001 W DALLAS ST,MILWAUKEE","{'lat': 43.14372, 'lng': -88.024417}"
"S 13TH ST / W GREENFIELD AV,MKE","S 13TH ST & W GREENFIELD AV,MILWAUKEE","{'lat': 43.017038, 'lng': -87.927938}"
"100 N MARSHALL ST,MKE","100 N MARSHALL ST,MILWAUKEE","{'lat': 43.027215, 'lng': -87.901273}"
"7822 W CAPITOL DR,MKE","7822 W CAPITOL DR,MILWAUKEE","{'lat': 43.090213, 'lng': -88.010272}"
"1908 S 7TH ST,MKE","1908 S 7TH ST,MILWAUKEE","{'lat': 43.009811, 'lng': -87.91948}"
"3200 W LISBON AV,MKE","3200 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"765 N JACKSON ST,MKE","765 N JACKSST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"4325 W FOND DU LAC AV,MKE","4325 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.082981, 'lng': -87.968012}"
"6330 W SILVER SPRING DR,MKE","6330 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119711, 'lng': -87.990618}"
"9591 W ALLYN ST,MKE","9591 W ALLYN ST,MILWAUKEE","{'lat': 43.183272, 'lng': -88.030261}"
"1041 N 35TH ST,MKE","1041 N 35TH ST,MILWAUKEE","{'lat': 43.044231, 'lng': -87.957872}"
"2624 N DOWNER AV,MKE","2624 N DOWNER AV,MILWAUKEE","{'lat': 43.06685, 'lng': -87.87772}"
"4928 W VILLARD AV,MKE","4928 W VILLARD AV,MILWAUKEE","{'lat': 43.112262, 'lng': -87.974686}"
"S 18TH ST / W NATIONAL AV,MKE","S 18TH ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022869, 'lng': -87.935539}"
"2701 S CHASE AV,MKE","2701 S CHASE AV,MILWAUKEE","{'lat': 42.992057, 'lng': -87.914957}"
"4063 N 6TH ST,MKE","4063 N 6TH ST,MILWAUKEE","{'lat': 43.090765, 'lng': -87.91863}"
"9000-9200 N 75TH ST,MKE","9000-9200 N 75TH ST,MILWAUKEE","{'lat': 43.185851, 'lng': -88.002008}"
"2014 W HAMPTON AV,MKE","2014 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"2000 S 15TH PL,MKE","2000 S 15TH PL,MILWAUKEE","{'lat': 43.008508, 'lng': -87.932203}"
"1327 N 28TH ST,MKE","1327 N 28TH ST,MILWAUKEE","{'lat': 43.047912, 'lng': -87.949094}"
"8011 W HERBERT AV,MKE","8011 W HERBERT AV,MILWAUKEE","{'lat': 43.109149, 'lng': -88.01036}"
"N SWAN RD / W BROWN DEER RD,MKE","N SWAN RD & W BROWN DEER RD,MILWAUKEE","{'lat': 43.177599, 'lng': -88.024343}"
"S 1ST ST / W LAYTON AV,MKE","S 1ST ST & W LAYTAV,MILWAUKEE","{'lat': 43.006509, 'lng': -87.91139}"
"W BURNHAM ST / W FOREST HOME AV,MKE","W BURNHAM ST & W FOREST HOME AV,MILWAUKEE","{'lat': 43.010165, 'lng': -87.931525}"
2000 W NORTH AVE,"2000 W NORTH AVE, MILWAUKEE","{'lat': 43.060743, 'lng': -87.937741}"
"1822 S 17TH ST,MKE","1822 S 17TH ST,MILWAUKEE","{'lat': 43.011028, 'lng': -87.934042}"
"N HOPKINS ST / W FAIRMOUNT AV,MKE","N HOPKINS ST & W FAIRMOUNT AV,MILWAUKEE","{'lat': 43.108278, 'lng': -87.961604}"
"5495 N MILWAUKEE RIVER PK,MKE","5495 N MILWAUKEE RIVER PK,MILWAUKEE","{'lat': 43.11704, 'lng': -87.923757}"
"351 E OKLAHOMA AV,MKE","351 E OKLAHOMA AV,MILWAUKEE","{'lat': 42.988031, 'lng': -87.905156}"
"2661 N 48TH ST,MKE","2661 N 48TH ST,MILWAUKEE","{'lat': 43.067432, 'lng': -87.973972}"
"3165 N 28TH ST,MKE","3165 N 28TH ST,MILWAUKEE","{'lat': 43.076656, 'lng': -87.948772}"
"2378 N TEUTONIA AV,MKE","2378 N TEUTONIA AV,MILWAUKEE","{'lat': 43.061988, 'lng': -87.928213}"
"N 60TH ST / W SILVER SPRING DR,MKE","N 60TH ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119325, 'lng': -87.986127}"
"1115 W SCOTT ST,MKE","1115 W SCOTT ST,MILWAUKEE","{'lat': 43.018797, 'lng': -87.925872}"
"400 N BROADWAY,MKE","400 N BROADWAY,MILWAUKEE","{'lat': 43.035248, 'lng': -87.906792}"
"412 S WATER ST,MKE","412 S WATER ST,MILWAUKEE","{'lat': 43.026658, 'lng': -87.904875}"
"1200 W MEINECKE AV,MKE","1200 W MEINECKE AV,MILWAUKEE","{'lat': 43.06204, 'lng': -87.926867}"
"N 48TH ST / W LEON TR,MKE","N 48TH ST & W LETR,MILWAUKEE","{'lat': 43.082913, 'lng': -87.973672}"
"5958 N 39TH ST,MKE","5958 N 39TH ST,MILWAUKEE","{'lat': 43.126058, 'lng': -87.96051}"
"519 W WISCONSIN AV,MKE","519 W WISCONSIN AV,MILWAUKEE","{'lat': 43.038653, 'lng': -87.917652}"
"3306 N RICHARDS ST,MKE","3306 N RICHARDS ST,MILWAUKEE","{'lat': 43.07863, 'lng': -87.907145}"
"S 19TH ST / W MITCHELL ST,MKE","S 19TH ST & W MITCHELL ST,MILWAUKEE","{'lat': 43.012358, 'lng': -87.93648}"
"N 14TH ST / W CAPITOL DR,MKE","N 14TH ST & W CAPITOL DR,MILWAUKEE","{'lat': 43.087674, 'lng': -87.928373}"
"2546 N 52ND ST,MKE","2546 N 52ND ST,MILWAUKEE","{'lat': 43.06532, 'lng': -87.978278}"
"2730 N RICHARDS ST,MKE","2730 N RICHARDS ST,MILWAUKEE","{'lat': 43.068164, 'lng': -87.907339}"
"2108 N FARWELL AV,MKE","2108 N FARWELL AV,MILWAUKEE","{'lat': 43.057726, 'lng': -87.88701}"
"8009 W VILLARD AV,MKE","8009 W VILLARD AV,MILWAUKEE","{'lat': 43.111966, 'lng': -88.010908}"
"6709 N 78TH ST,MKE","6709 N 78TH ST,MILWAUKEE","{'lat': 43.139854, 'lng': -88.00778}"
"2326 N 51ST ST,MKE","2326 N 51ST ST,MILWAUKEE","{'lat': 43.061506, 'lng': -87.977075}"
"600 S 63RD ST,MKE","600 S 63RD ST,MILWAUKEE","{'lat': 43.026179, 'lng': -87.991202}"
"E LOCUST ST / N OAKLAND AV,MKE","E LOCUST ST & N OAKLAND AV,MILWAUKEE","{'lat': 43.070995, 'lng': -87.887917}"
"2207 S AUSTIN ST,MKE","2207 S AUSTIN ST,MILWAUKEE","{'lat': 43.003367, 'lng': -87.907296}"
"7100 W HOPE AV,MKE","7100 W HOPE AV,MILWAUKEE","{'lat': 43.093717, 'lng': -88.000906}"
"S 13TH ST / W MORGAN AV,MKE","S 13TH ST & W MORGAN AV,MILWAUKEE","{'lat': 42.981054, 'lng': -87.928946}"
"6058 S 21ST ST,MKE","6058 S 21ST ST,MILWAUKEE","{'lat': 42.934718, 'lng': -87.940093}"
"2017 W FOREST HOME AV,MKE","2017 W FOREST HOME AV,MILWAUKEE","{'lat': 43.006406, 'lng': -87.938299}"
"2000 W CENTER ST,MKE","2000 W CENTER ST,MILWAUKEE","{'lat': 43.067647, 'lng': -87.93748}"
"3828 N 76TH ST,MKE","3828 N 76TH ST,MILWAUKEE","{'lat': 43.08695, 'lng': -88.006736}"
"N 55TH ST / W LISBON AV,MKE","N 55TH ST & W LISBAV,MILWAUKEE","{'lat': 43.08829, 'lng': -87.981412}"
"915 W SCOTT ST,MKE","915 W SCOTT ST,MILWAUKEE","{'lat': 43.018813, 'lng': -87.922999}"
"4232 N 84TH ST,MKE","4232 N 84TH ST,MILWAUKEE","{'lat': 43.094043, 'lng': -88.017325}"
"1341 W CENTER ST,MKE","1341 W CENTER ST,MILWAUKEE","{'lat': 43.06753, 'lng': -87.928951}"
1879 W MORGAN AV,"1879 W MORGAN AV, MILWAUKEE","{'lat': 42.980977, 'lng': -87.937013}"
"2712 N 12TH ST,MKE","2712 N 12TH ST,MILWAUKEE","{'lat': 43.068043, 'lng': -87.926447}"
"800 N 33RD ST,MKE","800 N 33RD ST,MILWAUKEE","{'lat': 43.040145, 'lng': -87.955207}"
"9150 N 94TH ST,MKE","9150 N 94TH ST,MILWAUKEE","{'lat': 43.184873, 'lng': -88.026051}"
"2203 S 34TH ST,MKE","2203 S 34TH ST,MILWAUKEE","{'lat': 43.004671, 'lng': -87.956945}"
"1580 N FARWELL AV,MKE","1580 N FARWELL AV,MILWAUKEE","{'lat': 43.051024, 'lng': -87.893546}"
"4234 N 26TH ST,MKE","4234 N 26TH ST,MILWAUKEE","{'lat': 43.093547, 'lng': -87.945265}"
7620 W O'CONNER,"7620 W O'CONNER, MILWAUKEE","{'lat': 43.028775, 'lng': -88.007585}"
"744 N 4TH ST,MKE","744 N 4TH ST,MILWAUKEE","{'lat': 43.039773, 'lng': -87.915498}"
"800 S WATER ST,MKE","800 S WATER ST,MILWAUKEE","{'lat': 43.023345, 'lng': -87.906452}"
"N 24TH ST / W WISCONSIN AV,MKE","N 24TH ST & W WISCONSIN AV,MILWAUKEE","{'lat': 43.038689, 'lng': -87.942894}"
"N 87TH ST / W BURLEIGH ST,MKE","N 87TH ST & W BURLEIGH ST,MILWAUKEE","{'lat': 43.075148, 'lng': -88.021298}"
"5315 N 62ND ST,MKE","5315 N 62ND ST,MILWAUKEE","{'lat': 43.114197, 'lng': -87.98892}"
"5540 N 41ST ST,MKE","5540 N 41ST ST,MILWAUKEE","{'lat': 43.118388, 'lng': -87.963088}"
"135 E NATIONAL AV,MKE","135 E NATIONAL AV,MILWAUKEE","{'lat': 43.023056, 'lng': -87.910073}"
"7019 W BECKETT AV,MKE","7019 W BECKETT AV,MILWAUKEE","{'lat': 43.085979, 'lng': -87.999721}"
"3030 W MEINECKE AV,MKE","3030 W MEINECKE AV,MILWAUKEE","{'lat': 43.062598, 'lng': -87.952885}"
"2041 W ATKINSON AV,MKE","2041 W ATKINSAV,MILWAUKEE","{'lat': 43.090661, 'lng': -87.938106}"
"N 19TH ST / W CAPITOL DR,MKE","N 19TH ST & W CAPITOL DR,MILWAUKEE","{'lat': 43.088794, 'lng': -87.934457}"
"905 W CENTER ST,MKE","905 W CENTER ST,MILWAUKEE","{'lat': 43.067472, 'lng': -87.922804}"
"1879 W MORGAN AV,MKE","1879 W MORGAN AV,MILWAUKEE","{'lat': 42.980977, 'lng': -87.937013}"
"1023 S CESAR E CHAVEZ DR,MKE","1023 S CESAR E CHAVEZ DR,MILWAUKEE","{'lat': 43.02076, 'lng': -87.93332}"
"6972 N 43RD ST,MKE","6972 N 43RD ST,MILWAUKEE","{'lat': 43.144581, 'lng': -87.964958}"
"3259 N 36TH ST,MKE","3259 N 36TH ST,MILWAUKEE","{'lat': 43.078317, 'lng': -87.95871}"
"212 N 34TH ST,MKE","212 N 34TH ST,MILWAUKEE","{'lat': 43.032941, 'lng': -87.956088}"
"1100 W NORTH AV,MKE","1100 W NORTH AV,MILWAUKEE","{'lat': 43.060638, 'lng': -87.925613}"
"4720 W HAMPTON AV,MKE","4720 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"6310 W SHERIDAN AV,MKE","6310 W SHERIDAN AV,MILWAUKEE","{'lat': 43.118635, 'lng': -87.98963}"
"4043 N 15TH ST,MKE","4043 N 15TH ST,MILWAUKEE","{'lat': 43.090247, 'lng': -87.929699}"
"1800 W NORTH AV,MKE","1800 W NORTH AV,MILWAUKEE","{'lat': 43.060313, 'lng': -87.935135}"
"4028 W LISBON AV,MKE","4028 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"9002 W VILLARD AV,MKE","9002 W VILLARD AV,MILWAUKEE","{'lat': 43.112325, 'lng': -88.023633}"
"S 6TH ST / W ARTHUR AV,MKE","S 6TH ST & W ARTHUR AV,MILWAUKEE","{'lat': 42.999169, 'lng': -87.918844}"
"500 W BRUCE ST,MKE","500 W BRUCE ST,MILWAUKEE","{'lat': 43.025153, 'lng': -87.916837}"
"2100 W BROWN ST,MKE","2100 W BROWN ST,MILWAUKEE","{'lat': 43.056134, 'lng': -87.938879}"
"4192 N 14TH ST,MKE","4192 N 14TH ST,MILWAUKEE","{'lat': 43.093495, 'lng': -87.927769}"
"4500 W VLIET ST,MKE","4500 W VLIET ST,MILWAUKEE","{'lat': 43.048954, 'lng': -87.970685}"
"2949 N MOTHER SIMPSON WA,MKE","2949 N MOTHER SIMPSWA,MILWAUKEE","{'lat': 43.072354, 'lng': -87.924265}"
"N 39TH ST / W HADLEY ST,MKE","N 39TH ST & W HADLEY ST,MILWAUKEE","{'lat': 43.069717, 'lng': -87.962166}"
"S 12TH ST / W ARTHUR AV,MKE","S 12TH ST & W ARTHUR AV,MILWAUKEE","{'lat': 42.999198, 'lng': -87.927325}"
"4410 W CENTER ST,MKE","4410 W CENTER ST,MILWAUKEE","{'lat': 43.068059, 'lng': -87.96886}"
"W HISTORIC MITCHELL ST / S 6TH ST,MKE","W HISTORIC MITCHELL ST & S 6TH ST,MILWAUKEE","{'lat': 43.012323, 'lng': -87.918539}"
"N JAMES LOVELL ST / W CLYBOURN ST,MKE","N JAMES LOVELL ST & W CLYBOURN ST,MILWAUKEE","{'lat': 43.041198, 'lng': -87.920276}"
"S 20TH ST / W RAMSEY AV,MKE","S 20TH ST & W RAMSEY AV,MILWAUKEE","{'lat': 42.937577, 'lng': -87.939341}"
"S 6TH ST / W GRANT ST,MKE","S 6TH ST & W GRANT ST,MILWAUKEE","{'lat': 43.004647, 'lng': -87.918739}"
